readnames	chr	start	end	count
SRR10612065.11014	chr6	151914240	151951117	1
SRR10612065.11177	chr1	44729358	44729816	1
SRR10612065.11378	chr2	169018297	169023917	1
SRR10612065.11401	chr8	132089392	132142169	1
SRR10612065.11485	chr13	21976936	21995290	1
SRR10612065.11760_SRR10612065.219133_SRR10612065.274191_SRR10612065.826694_SRR10612065.1499078_SRR10612065.1679072_SRR10612065.1779963_SRR10612065.1912698_SRR10612065.2001624_SRR10612065.2066849_SRR10612065.2188593_SRR10612065.2229486_SRR10612065.2300517_SRR10612065.2380726_SRR10612065.2675022_SRR10612065.2760632_SRR10612065.2771928_SRR10612065.2853794_SRR10612065.3354390_SRR10612065.3363609_SRR10612065.4055259_SRR10612065.4063611_SRR10612065.4103883_SRR10612065.4160510_SRR10612065.4366362_SRR10612065.4470304_SRR10612065.4781126_SRR10612065.4973998_SRR10612065.5574653_SRR10612065.5905647_SRR10612065.6244006_SRR10612065.6285558_SRR10612065.6688912_SRR10612065.6727675_SRR10612065.6848858_SRR10612065.6906186_SRR10612065.7006138_SRR10612065.7011935_SRR10612065.7068796_SRR10612065.7106373_SRR10612065.7112334_SRR10612065.7154638_SRR10612065.7254187_SRR10612065.7285737_SRR10612065.7596018_SRR10612065.7751080_SRR10612065.7815844_SRR10612065.7858129_SRR10612065.7859481_SRR10612065.7864675_SRR10612065.7994858_SRR10612065.7995351_SRR10612065.8027542_SRR10612065.8143988_SRR10612065.8401493_SRR10612065.8441602_SRR10612065.344590_SRR10612065.635448_SRR10612065.1043371_SRR10612065.1065627_SRR10612065.1112897_SRR10612065.1139937_SRR10612065.1275510_SRR10612065.1327493_SRR10612065.1741184_SRR10612065.1781620_SRR10612065.1899269_SRR10612065.1953393_SRR10612065.2215929_SRR10612065.2415987_SRR10612065.2728289_SRR10612065.2773283_SRR10612065.3021462_SRR10612065.3543378_SRR10612065.3855276_SRR10612065.4484086_SRR10612065.5267120_SRR10612065.6413696_SRR10612065.6824634_SRR10612065.7049624	chr11	65268845	65269126	80
SRR10612065.11784_SRR10612065.7700755	chr2	40657118	40657226	2
SRR10612065.11790_SRR10612065.1524588_SRR10612065.2868375	chr21	38494163	38495315	3
SRR10612065.12045_SRR10612065.138462_SRR10612065.1454777_SRR10612065.1791184_SRR10612065.2065462_SRR10612065.2092308_SRR10612065.615758_SRR10612065.1225041_SRR10612065.1987709_SRR10612065.2248427_SRR10612065.2306565	chr17	65914871	65916166	11
SRR10612065.12355_SRR10612065.224751_SRR10612065.1029250_SRR10612065.1052443_SRR10612065.1510622_SRR10612065.1564359_SRR10612065.1751614_SRR10612065.1756684_SRR10612065.1864552_SRR10612065.1870047_SRR10612065.1901090_SRR10612065.1959631_SRR10612065.1968825_SRR10612065.2049362_SRR10612065.2055037_SRR10612065.2055548_SRR10612065.2144540_SRR10612065.2148636_SRR10612065.2191327_SRR10612065.2206732_SRR10612065.2286946_SRR10612065.2321066_SRR10612065.2491672_SRR10612065.2527656_SRR10612065.2559194_SRR10612065.2565843_SRR10612065.2583001_SRR10612065.2650874_SRR10612065.2674132_SRR10612065.2723773_SRR10612065.2765297_SRR10612065.2780755_SRR10612065.2818114_SRR10612065.2901504_SRR10612065.2917654_SRR10612065.2924826_SRR10612065.2930198_SRR10612065.2953243_SRR10612065.2959634_SRR10612065.2960906_SRR10612065.2986893_SRR10612065.3125854_SRR10612065.3435891_SRR10612065.3506972_SRR10612065.3531454_SRR10612065.3737650_SRR10612065.4085075_SRR10612065.4195472_SRR10612065.4246617_SRR10612065.4448103_SRR10612065.4455764_SRR10612065.4654655_SRR10612065.4961584_SRR10612065.5071331_SRR10612065.5208146_SRR10612065.5343312_SRR10612065.5452087_SRR10612065.5794563_SRR10612065.5854013_SRR10612065.5999213_SRR10612065.6745699_SRR10612065.7830636	chr11	65268941	65269158	62
SRR10612065.12548	chr9	710892	711044	1
SRR10612065.12670_SRR10612065.754696_SRR10612065.1980541	chr9	130417021	130417169	3
SRR10612065.12769	chr16	24104175	24135255	1
SRR10612065.12782	chr2	115402173	115402331	1
SRR10612065.13102	chr12	14544005	14544353	1
SRR10612065.13300_SRR10612065.1528491	chr7	18694806	18694991	2
SRR10612065.13370	chr4	26667954	26685318	1
SRR10612065.13626_SRR10612065.2201960	chr17	4192571	4192681	2
SRR10612065.13651	chr11	94924722	94964053	1
SRR10612065.13687_SRR10612065.231030_SRR10612065.842514_SRR10612065.1100737_SRR10612065.1469743_SRR10612065.1554277_SRR10612065.1726901_SRR10612065.2354775_SRR10612065.2934153_SRR10612065.5989749_SRR10612065.79734_SRR10612065.913207_SRR10612065.1071136_SRR10612065.1941196_SRR10612065.5253832	chr5	58476421	58489365	15
SRR10612065.13822_SRR10612065.800544_SRR10612065.1238837	chr10	24802199	24802324	3
SRR10612065.13824	chrX	47431789	47431952	1
SRR10612065.14274	chr13	52531652	52539172	1
SRR10612065.14293	chr3	141305576	141327482	1
SRR10612065.14307	chr4	490188	490452	1
SRR10612065.14309_SRR10612065.3047201_SRR10612065.3468028_SRR10612065.7378303	chr1	98164961	98165104	4
SRR10612065.14457	chr8	74467808	74467937	1
SRR10612065.14698	chr2	122194138	122194512	1
SRR10612065.14729_SRR10612065.2046273_SRR10612065.3761348_SRR10612065.2844587	chr13	79916909	79918856	4
SRR10612065.15062	chr16	78260607	78260922	1
SRR10612065.15076	chr9	134271105	134271348	1
SRR10612065.15185	chr3	28458825	28458933	1
SRR10612065.15452	chr12	110572775	110584795	1
SRR10612065.15665	chr11	113146300	113146511	1
SRR10612065.15952_SRR10612065.1705377	chr14	36645139	36645348	2
SRR10612065.15953_SRR10612065.1634130	chr15	25653706	25653833	2
SRR10612065.16329_SRR10612065.317657_SRR10612065.601528_SRR10612065.653627_SRR10612065.738454_SRR10612065.800866_SRR10612065.928230_SRR10612065.946441_SRR10612065.1084419_SRR10612065.1190802_SRR10612065.1394273_SRR10612065.1431218_SRR10612065.1472138_SRR10612065.1722943_SRR10612065.1946254_SRR10612065.2037875_SRR10612065.2106419_SRR10612065.2106585_SRR10612065.2201132_SRR10612065.2322279_SRR10612065.2501414_SRR10612065.2570508_SRR10612065.2628076_SRR10612065.2720554_SRR10612065.2746606_SRR10612065.4951869_SRR10612065.5691062_SRR10612065.5789159_SRR10612065.179297_SRR10612065.338451_SRR10612065.626356_SRR10612065.1053414_SRR10612065.1176371_SRR10612065.1314496_SRR10612065.2010274_SRR10612065.2203362_SRR10612065.2694693_SRR10612065.2854227	chr3	169831144	169840534	38
SRR10612065.16855_SRR10612065.251244_SRR10612065.280583_SRR10612065.2781666	chr20	47981447	47981613	4
SRR10612065.16995_SRR10612065.230329	chr2	208729787	208729945	2
SRR10612065.17279_SRR10612065.5901868	chr2	231741593	231742162	2
SRR10612065.17504	chr11	60619329	60619478	1
SRR10612065.17891_SRR10612065.657442_SRR10612065.1132868_SRR10612065.1968000_SRR10612065.2423215_SRR10612065.2448315_SRR10612065.2567167_SRR10612065.2672264_SRR10612065.2677757_SRR10612065.2694994_SRR10612065.2734230_SRR10612065.2832178_SRR10612065.2877492_SRR10612065.3316487_SRR10612065.3388116_SRR10612065.3733980_SRR10612065.5896351_SRR10612065.6793736_SRR10612065.7011574_SRR10612065.806841_SRR10612065.1495990_SRR10612065.2187182_SRR10612065.5711271	chr11	65268804	65268999	23
SRR10612065.17951_SRR10612065.7588806	chr10	32740526	32740851	2
SRR10612065.18198	chr1	12415194	12441433	1
SRR10612065.18865	chr1	200721374	200721525	1
SRR10612065.19188_SRR10612065.380910_SRR10612065.1272222_SRR10612065.1665289_SRR10612065.1873253_SRR10612065.896980	chr5	78734877	78742937	6
SRR10612065.19297	chr14	33292182	33292511	1
SRR10612065.19879	chr2	2837329	2837541	1
SRR10612065.20012	chr9	36052262	36080637	1
SRR10612065.20037	chr7	23650796	23650918	1
SRR10612065.20368	chr12	67171525	67171654	1
SRR10612065.20408	chr6	94066443	94066753	1
SRR10612065.20409	chr2	115538658	115539115	1
SRR10612065.20856_SRR10612065.169669_SRR10612065.335121_SRR10612065.1311980_SRR10612065.1706658_SRR10612065.2332764_SRR10612065.2454767_SRR10612065.2653750_SRR10612065.4295537_SRR10612065.4699023_SRR10612065.5311859_SRR10612065.6588436_SRR10612065.6734099_SRR10612065.6820324_SRR10612065.7554647_SRR10612065.7582883_SRR10612065.7757182_SRR10612065.8143450_SRR10612065.11755_SRR10612065.129108_SRR10612065.385915_SRR10612065.466447_SRR10612065.830642_SRR10612065.2203176_SRR10612065.2282175_SRR10612065.2349090_SRR10612065.2670267_SRR10612065.2692714_SRR10612065.4869433_SRR10612065.5073849_SRR10612065.5668091_SRR10612065.6398101_SRR10612065.7081534_SRR10612065.7180169_SRR10612065.7419778_SRR10612065.7627951	chr1	567244	567389	36
SRR10612065.20983_SRR10612065.1132308_SRR10612065.1588805_SRR10612065.2008634	chr7	14468004	14468149	4
SRR10612065.21020	chr21	45497571	45500009	1
SRR10612065.21057	chr12	50523453	50523858	1
SRR10612065.21235_SRR10612065.4728645	chr1	243708814	244006586	2
SRR10612065.21258	chr3	7188137	7250015	1
SRR10612065.21422	chr15	44788581	44789336	1
SRR10612065.21523_SRR10612065.7120052	chr11	74921407	74936148	2
SRR10612065.21767	chr11	44129227	44135851	1
SRR10612065.21973_SRR10612065.3088663_SRR10612065.7589072	chr7	99621040	99621931	3
SRR10612065.22474	chr2	28117432	28141170	1
SRR10612065.22478_SRR10612065.419339	chr13	41834705	41834860	2
SRR10612065.22506_SRR10612065.2723689	chr12	78064723	78064828	2
SRR10612065.22591_SRR10612065.103879_SRR10612065.205652_SRR10612065.1940806_SRR10612065.2638304_SRR10612065.959129_SRR10612065.1055859	chr7	122024583	122024744	7
SRR10612065.22769	chr17	489508	530556	1
SRR10612065.22858	chr6	138521844	138521990	1
SRR10612065.22941	chr1	230487998	230488144	1
SRR10612065.23057_SRR10612065.579418_SRR10612065.1526702_SRR10612065.2213602_SRR10612065.2662871_SRR10612065.2851471_SRR10612065.7601943	chr3	169835098	169840531	7
SRR10612065.23575	chr13	42352121	42393524	1
SRR10612065.23832_SRR10612065.4500005	chr10	31749990	31750108	2
SRR10612065.24277_SRR10612065.1381880_SRR10612065.2831638_SRR10612065.4331276_SRR10612065.408629_SRR10612065.1637120	chr5	132426883	132428481	6
SRR10612065.24722_SRR10612065.159786_SRR10612065.520106_SRR10612065.577946_SRR10612065.626244_SRR10612065.729372_SRR10612065.871531_SRR10612065.958781_SRR10612065.1017663_SRR10612065.1206397_SRR10612065.1207860_SRR10612065.1221807_SRR10612065.1286870_SRR10612065.1475696_SRR10612065.1734198_SRR10612065.2057354_SRR10612065.2090463_SRR10612065.2316841_SRR10612065.2497804_SRR10612065.2541744_SRR10612065.2601248_SRR10612065.2684405_SRR10612065.2771352_SRR10612065.2775811_SRR10612065.2908138_SRR10612065.2958252_SRR10612065.3522970_SRR10612065.3645885_SRR10612065.3686721_SRR10612065.4334145_SRR10612065.5013011_SRR10612065.5648115_SRR10612065.5773077_SRR10612065.5897625_SRR10612065.6244826_SRR10612065.6268386_SRR10612065.7527925_SRR10612065.7532140_SRR10612065.7740153_SRR10612065.145773_SRR10612065.1005966_SRR10612065.1298496_SRR10612065.1538023_SRR10612065.1614940_SRR10612065.2264095_SRR10612065.2497456_SRR10612065.5889467_SRR10612065.6758012_SRR10612065.7805507_SRR10612065.8049660	chr8	142264539	142264691	50
SRR10612065.24767_SRR10612065.969597_SRR10612065.1333484_SRR10612065.1335128_SRR10612065.1540322_SRR10612065.2885361_SRR10612065.3065403_SRR10612065.5235120_SRR10612065.5299934_SRR10612065.6198668_SRR10612065.7364314_SRR10612065.8275667	chr9	33971648	33973236	12
SRR10612065.24805	chr2	172885951	172886267	1
SRR10612065.24843	chr10	28872413	28878759	1
